상호명,상권업종소분류명,시도명,시군구명,경도,위도
피트니스진부,헬스장,강원특별자치도,평창군,128.56040257555,37.6387209895491
주재현휘트니스,헬스장,강원특별자치도,춘천시,127.742319865849,37.8565908849496
에스핏,헬스장,강원특별자치도,춘천시,127.758192539129,37.8564537109367
한스바디핏,헬스장,강원특별자치도,속초시,128.588267641754,38.1889529542962
비타민헬스센타,헬스장,강원특별자치도,동해시,129.105089288298,37.5383899152558
팀바디매스,헬스장,강원특별자치도,춘천시,127.743770129622,37.850518453688
커브스서원주클럽,헬스장,강원특별자치도,원주시,127.87247035774,37.3825948064013
씨에스짐,헬스장,강원특별자치도,춘천시,127.763372228689,37.86729447866
태백실내클라이밍센터,헬스장,강원특별자치도,태백시,128.991698932123,37.1677251860477
크로스핏LJ,헬스장,강원특별자치도,원주시,127.92607423055,37.3472465611103
커브스석사클럽,헬스장,강원특별자치도,춘천시,127.744374505126,37.8518660347526
엠에프헬스클럽,헬스장,강원특별자치도,강릉시,128.884153822797,37.7516359549579
아이티엔피트니스,헬스장,강원특별자치도,동해시,129.104479394659,37.4889083351931
뽀빠이헬스크럽,헬스장,강원특별자치도,속초시,128.57753489622,38.1977635515286
스타휘트니스,헬스장,강원특별자치도,춘천시,127.731985879686,37.8618269346045
점핑스타,헬스장,강원특별자치도,강릉시,128.876240169075,37.762635438306
렉슬휘트니스,헬스장,강원특별자치도,춘천시,127.736279204521,37.8536106862421
헬스파크,헬스장,강원특별자치도,삼척시,129.168178743111,37.4421643489913
머슬로생체역학연구소,헬스장,강원특별자치도,강릉시,128.913156878354,37.7715996107271
몬스터짐,헬스장,강원특별자치도,강릉시,128.911615716572,37.7712462785593
크로스핏적토마,헬스장,강원특별자치도,홍천군,127.887021477821,37.6898983660728
바디스튜디오카모,헬스장,강원특별자치도,원주시,127.926131304213,37.3427050822301
제이엠GYM,헬스장,강원특별자치도,동해시,129.107449219499,37.4843601382625
운동처방체형관리,헬스장,강원특별자치도,철원군,127.494021304275,38.2255488113236
썬휘트니스클럽,헬스장,강원특별자치도,태백시,128.9878488672,37.1617087184528
강릉활법체육관,헬스장,강원특별자치도,강릉시,128.898931072914,37.7598305951785
로얄헬스,헬스장,강원특별자치도,원주시,127.942370082281,37.327331935708
리더짐어린이스포츠센터,헬스장,강원특별자치도,춘천시,127.737438074306,37.8581621553025
강남콩바디헬스클럽,헬스장,강원특별자치도,강릉시,128.86974373455,37.7367132629172
머슬핏피트니스,헬스장,강원특별자치도,춘천시,127.750764266735,37.8791597112444
더베스트짐,헬스장,강원특별자치도,철원군,127.217063802829,38.2090905270742
건강해GYM,헬스장,강원특별자치도,원주시,127.925550261686,37.3505302942662
새로워GYM,헬스장,강원특별자치도,강릉시,128.865646894202,37.7565157675123
블랑꼬피트니스,헬스장,강원특별자치도,원주시,127.872680586807,37.382223846637
쑤트핏,헬스장,강원특별자치도,춘천시,127.750499442895,37.8799452078508
팀피쇄운점,헬스장,강원특별자치도,동해시,129.099108897582,37.4876796703253
엠투짐,헬스장,강원특별자치도,원주시,127.979122433737,37.324231389505
리프로젝트트레이닝센터,헬스장,강원특별자치도,강릉시,128.912035075077,37.7685819994668
다니엘스피닝,헬스장,강원특별자치도,춘천시,127.740560643252,37.8749629436459
프로핏짐,헬스장,강원특별자치도,춘천시,127.731130353206,37.8810491079652
클래식짐,헬스장,강원특별자치도,원주시,127.988669293186,37.3269811294367
브이아이피티,헬스장,강원특별자치도,태백시,128.982514145592,37.15872601014
여니쌤의점핑다이어트,헬스장,강원특별자치도,강릉시,128.909039038862,37.770342183696
아주헬스클럽,헬스장,강원특별자치도,삼척시,129.041537508956,37.228840418182
에이스스포츠센타,헬스장,강원특별자치도,원주시,127.947058607752,37.3493959786831
썬스포츠타운,헬스장,강원특별자치도,철원군,127.218866966883,38.2088079015846
플라이번지피트니스&이수연번지핏동해쇄운점,헬스장,강원특별자치도,동해시,129.107449219499,37.4843601382625
에이치케이피티,헬스장,강원특별자치도,강릉시,128.91947776503,37.7592994378204
